sensor_name,pct_onetime,pct_regular,diff,abs_diff,dominant
104_back,2.8028374775968796,3.6805107622863384,-0.8776732846894588,0.8776732846894588,Regular
108_back,0.8986349784879839,1.0908660095904226,-0.19223103110243867,0.19223103110243867,Regular
108_front_outside,5.352651475217254,4.700176102832778,0.6524753723844761,0.6524753723844761,One-time
112_side,1.033681240618301,0.9488025019020433,0.08487873871625762,0.08487873871625762,One-time
202_back,1.2214407277437234,1.809011893843437,-0.5875711660997136,0.5875711660997136,Regular
202_back_further,0.6677008499379992,1.9295358012271164,-1.2618349512891172,1.2618349512891172,Regular
202_front,5.5810754501960425,6.7213687862650735,-1.140293336069031,1.140293336069031,Regular
203_front,9.927155343363907,6.0738644034981055,3.8532909398658015,3.8532909398658015,One-time
206_front,1.116014277753513,1.5803589599436827,-0.4643446821901698,0.4643446821901698,Regular
PC_room_front,1.0964350798981881,1.0565587500461604,0.039876329852027714,0.039876329852027714,One-time
TMB_back,3.8390288717863754,6.061003549665553,-2.221974677879178,2.221974677879178,Regular
Whitehouse,0.3865636499641048,0.6250095378841263,-0.23844588792002147,0.23844588792002147,Regular
bridge_main_engineer,6.2984773408437125,5.5754946681625945,0.7229826726811179,0.7229826726811179,One-time
btw_201_102,7.079135101485509,5.500170138378826,1.5789649631066824,1.5789649631066824,One-time
btw_TMB_library,6.047964014438404,3.985152237444912,2.0628117769934917,2.0628117769934917,One-time
bus_station,12.007570623170725,7.178266927720254,4.829303695450471,4.829303695450471,One-time
cafeteria_dorm_side,5.151337158807376,7.770308878334342,-2.618971719526966,2.618971719526966,Regular
dorm_front,3.210486417559026,7.526954497390494,-4.316468079831468,4.316468079831468,Regular
football_field_back,2.616082051899935,1.2494249602379444,1.3666570916619907,1.3666570916619907,One-time
football_field_front,6.805026331510962,5.076309480138427,1.7287168513725346,1.7287168513725346,One-time
gym_front,5.690518145900167,6.63547831950112,-0.9449601736009532,0.9449601736009532,Regular
lake,4.184426003182875,5.292998558163154,-1.1085725549802792,1.1085725549802792,Regular
parking_dorm,1.9006882841092219,5.724093446684363,-3.823405162575141,3.823405162575141,Regular
parking_sport,3.8822035132109383,1.3550144340950554,2.5271890791158826,2.5271890791158826,One-time
tennis_court,1.2028655913168766,0.8532663947636755,0.34959919655320115,0.34959919655320115,One-time
