gps_id,gps_duration,best_overlap,best_spatial_dist,has_wifi_stay
167,375,375,13.9817659808674,TRUE
168,380,0,347.7842251609,TRUE
169,650,650,10.1520348568274,TRUE
170,480,480,6.13536930141095,TRUE
171,235,235,1.90852554205025,TRUE
172,575,0,50.1307061592938,TRUE
173,240,0,,FALSE
174,710,0,,FALSE
175,265,197,8.73729158735988,TRUE
176,240,0,279.295254351998,TRUE
178,365,365,15.984233229146,TRUE
179,180,180,12.0029789370171,TRUE
180,395,0,448.514388310661,TRUE
181,325,296,11.2251230054168,TRUE
182,225,0,242.223460024656,TRUE
184,445,0,9.94184210540916,TRUE
185,180,0,14.4957419568223,TRUE
186,360,0,300.23912422747,TRUE
187,200,0,190.953535175202,TRUE
189,315,0,17.524473576029,TRUE
190,330,0,454.771646278404,TRUE
191,260,0,27.5174161650751,TRUE
192,370,0,16.7078262389418,TRUE
193,265,265,156.189136042417,TRUE
195,370,216,14.8631225293106,TRUE
196,280,280,8.66718888333531,TRUE
197,205,205,13.4637199652706,TRUE
198,240,240,25.0319021080634,TRUE
199,565,230,10.2331977998522,TRUE
202,770,580,195.596605044969,TRUE
204,220,0,13.3987436526371,TRUE
205,470,0,44.5636198290753,TRUE
206,210,0,60.0864664357033,TRUE
207,260,0,322.059131479984,TRUE
208,530,530,16.0723840306119,TRUE
209,1000,284,8.36105837778513,TRUE
210,235,0,402.422542376577,TRUE
211,245,245,24.5780402756269,TRUE
212,215,215,11.7646882331754,TRUE
213,325,280,32.0402974138139,TRUE
214,235,233,15.2375025950227,TRUE
216,180,0,310.928395812352,TRUE
217,180,0,381.212727748406,TRUE
218,350,344,14.2921465490213,TRUE
220,335,220,38.2259052900867,TRUE
221,985,0,494.212221303588,TRUE
222,275,0,36.1485766978446,TRUE
223,260,245,29.5592850902676,TRUE
225,400,0,144.622850394742,TRUE
226,210,179,85.437496353628,TRUE
227,190,190,44.7107837644827,TRUE
228,235,0,161.505501363952,TRUE
231,190,0,,FALSE
232,225,0,,FALSE
235,1140,908,12.1732741299058,TRUE
236,395,304,15.3688714474647,TRUE
237,315,0,23.124092164405,TRUE
238,360,0,240.685296496137,TRUE
239,350,0,266.731446759234,TRUE
240,375,0,14.6659711546415,TRUE
241,1600,180,48.027619301447,TRUE
242,760,240,13.9553588508859,TRUE
243,450,450,14.9735592855055,TRUE
244,325,0,223.490205815503,TRUE
245,190,0,10.7566574184913,TRUE
246,245,245,12.8962118172426,TRUE
247,200,200,10.3954335437557,TRUE
248,485,415,13.1371723837235,TRUE
249,455,342,14.3561858082434,TRUE
250,315,278,11.5391174865863,TRUE
