sensor_a,sensor_b,distance_m
203_front,tennis_court,239.27654880684165
203_front,football_field_back,78.19338332233237
203_front,btw_201_102,175.08263893400763
203_front,dorm_front,253.93441919932096
203_front,cafeteria_dorm_side,212.28546465301693
203_front,parking_dorm,301.9546357374143
bridge_main_engineer,bus_station,208.33823442739114
bridge_main_engineer,Whitehouse,378.7283550778938
bridge_main_engineer,PC_room_front,322.3735054780714
bridge_main_engineer,parking_sport,226.2083332722748
bridge_main_engineer,football_field_front,186.30678180140012
bridge_main_engineer,btw_TMB_library,178.49568418596365
bridge_main_engineer,TMB_back,249.01960198657454
bridge_main_engineer,gym_front,232.23764641452948
bridge_main_engineer,lake,94.24351922325387
bridge_main_engineer,tennis_court,294.4433436990125
bridge_main_engineer,football_field_back,149.66199253267
bridge_main_engineer,btw_201_102,98.28994506548136
bridge_main_engineer,dorm_front,338.497683686787
bridge_main_engineer,cafeteria_dorm_side,292.4356570256846
bridge_main_engineer,parking_dorm,386.0789629253853
lake,Whitehouse,466.59362359168205
lake,PC_room_front,403.91602312639753
lake,parking_sport,314.1900092895631
lake,TMB_back,336.4027519579721
lake,tennis_court,386.23689711462845
lake,parking_dorm,466.93727477597463
202_back_further,bus_station,432.1044789978094
202_back_further,206_front,68.04812452608444
202_back_further,Whitehouse,584.205692944897
202_back_further,PC_room_front,545.2374162627409
202_back_further,parking_sport,440.9298512768175
202_back_further,football_field_front,426.27943738935073
202_back_further,btw_TMB_library,228.29209075706856
202_back_further,TMB_back,347.78288744408644
202_back_further,gym_front,383.4366223229616
202_back_further,203_front,253.5581119581255
202_back_further,bridge_main_engineer,241.56379295510033
202_back_further,lake,217.36982773963325
202_back_further,tennis_court,488.3639617955889
202_back_further,football_field_back,325.89505064515896
202_back_further,btw_201_102,309.64563945292514
202_back_further,202_front,171.31577886554084
202_back_further,dorm_front,423.2782327696908
202_back_further,cafeteria_dorm_side,423.15581305685487
202_back_further,parking_dorm,424.84081510156113
tennis_court,Whitehouse,98.08317941447727
tennis_court,TMB_back,194.09625084575654
football_field_back,Whitehouse,258.35892542024334
football_field_back,PC_room_front,227.6913840442061
football_field_back,parking_sport,123.05462054009314
football_field_back,football_field_front,169.51814555471577
football_field_back,TMB_back,120.48355621049829
football_field_back,gym_front,83.00076287321785
football_field_back,lake,243.64658736234895
football_field_back,tennis_court,162.84125313108748
football_field_back,parking_dorm,265.1334840841848
btw_201_102,bus_station,122.46022468377417
btw_201_102,Whitehouse,398.48651990548274
btw_201_102,PC_room_front,327.00892535952465
btw_201_102,parking_sport,251.46465708596406
btw_201_102,football_field_front,168.33721421131577
btw_201_102,btw_TMB_library,275.87506025640835
btw_201_102,TMB_back,333.4182794627856
btw_201_102,gym_front,300.7506256933876
btw_201_102,lake,99.17656256440844
btw_201_102,tennis_court,330.7274229923095
btw_201_102,football_field_back,219.7235866473283
btw_201_102,dorm_front,420.2314284587117
btw_201_102,cafeteria_dorm_side,363.12288728714736
btw_201_102,parking_dorm,475.3480152739967
202_front,bus_station,309.1954010596032
202_front,206_front,209.54055825644863
202_front,Whitehouse,413.55250260470814
202_front,PC_room_front,374.3652789659178
202_front,parking_sport,269.73931446658753
202_front,football_field_front,266.1241280218851
202_front,btw_TMB_library,99.99045447473742
202_front,TMB_back,206.0335737870148
202_front,gym_front,221.89773635650394
202_front,203_front,82.32692435655608
202_front,bridge_main_engineer,101.03314484589401
202_front,lake,150.2167997034106
202_front,tennis_court,318.72732729488683
202_front,football_field_back,155.89096969750256
202_front,btw_201_102,196.99940184765094
202_front,dorm_front,293.55871024661917
202_front,cafeteria_dorm_side,271.04763888046585
202_front,parking_dorm,322.8709466436779
dorm_front,Whitehouse,291.1806197449196
dorm_front,PC_room_front,320.24580093122074
dorm_front,parking_sport,254.65669165429023
dorm_front,football_field_front,350.34060571461794
dorm_front,TMB_back,89.99609500666057
dorm_front,gym_front,131.41415322457675
dorm_front,lake,426.39848626316484
dorm_front,tennis_court,214.72242195111468
dorm_front,football_field_back,202.1272734671689
dorm_front,parking_dorm,81.39709125907746
cafeteria_dorm_side,Whitehouse,219.27077094601975
cafeteria_dorm_side,PC_room_front,240.18243585987227
cafeteria_dorm_side,parking_sport,174.3598002293661
cafeteria_dorm_side,football_field_front,274.2796696985546
cafeteria_dorm_side,TMB_back,79.36517261402015
cafeteria_dorm_side,gym_front,62.399173151355846
cafeteria_dorm_side,lake,385.21730913118785
cafeteria_dorm_side,tennis_court,135.24040136464106
cafeteria_dorm_side,football_field_back,144.55033424414788
cafeteria_dorm_side,dorm_front,81.37120577819779
cafeteria_dorm_side,parking_dorm,162.1471990465409
202_back,bus_station,386.7983574058593
202_back,206_front,173.12187655135997
202_back,Whitehouse,477.0065725868183
202_back,PC_room_front,445.84990129801906
202_back,parking_sport,340.530806787567
202_back,football_field_front,346.2893077452857
202_back,btw_TMB_library,112.56103925216219
202_back,TMB_back,232.07925509264663
202_back,gym_front,269.98214914962074
202_back,203_front,156.72478612607168
202_back,bridge_main_engineer,178.88185082923928
202_back,lake,203.68328292561193
202_back,202_back_further,115.7318534918821
202_back,tennis_court,379.70878777346974
202_back,football_field_back,219.95420832062035
202_back,btw_201_102,270.16851593815056
202_back,202_front,80.96062016367216
202_back,dorm_front,309.2318576113441
202_back,cafeteria_dorm_side,307.5980387035193
202_back,parking_dorm,317.9820677680428
parking_dorm,Whitehouse,370.7167716144841
parking_dorm,PC_room_front,401.6304758210512
parking_dorm,parking_sport,333.11720510912346
parking_dorm,TMB_back,144.6947648361748
parking_dorm,tennis_court,296.11900443791575
