visitor_type,n_devices,pct,mean_detections,median_detections
One-time (1 day),13419,54.3895914396887,14.8093747671212,4
Rare (2 days),1774,7.19033722438392,28.21702367531,11
Occasional (3-9 days),3000,12.15953307393,109.039666666667,32
Regular (10-19 days),3022,12.2487029831388,718.012905360688,383.5
Resident (20+ days),3457,14.0118352788586,2508.3213769164,1677
