dist_bin,n,pct
0 (same),1478771,68.25555810444487
50-100m,200939,9.27473123962334
100-150m,131742,6.080808817454343
150-200m,95574,4.411404274410448
200-300m,190314,8.784313653087137
300m+,69181,3.193183910979861
