dist_threshold,total_segments,n_stays,pct_stays,median_duration,mean_duration,median_sensors,mean_sensors
50,799081,45434,5.68578154154585,0,1.9497022204257144,1,1
100,598142,60876,10.177516375710116,0,3.3777096408545133,1,1.2728198320800077
150,466400,67504,14.473413379073758,0,5.022813036020583,1,1.5553216123499143
200,370826,78576,21.1894527352451,0,7.347084616504776,1,1.8767049775366345
