source_address,timestamp,x,y
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-21T10:41:20Z,398249.801501041,333290.851406765
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-21T10:41:21Z,398250.887623372,333289.925168449
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-21T10:41:22Z,398251.973745704,333288.998930132
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-21T10:41:23Z,398253.059868035,333288.072691816
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-21T10:41:24Z,398254.145990367,333287.1464535
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-21T10:41:25Z,398255.006767271,333286.213618346
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-21T10:41:26Z,398255.867544176,333285.280783192
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-21T10:41:27Z,398256.72832108,333284.347948037
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-21T10:41:28Z,398257.589097985,333283.415112883
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-21T10:41:29Z,398258.449874889,333282.482277729
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-21T10:41:30Z,398259.519815998,333281.633135283
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-21T10:41:31Z,398260.589757106,333280.783992837
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-21T10:41:32Z,398261.659698215,333279.934850391
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-21T10:41:33Z,398262.729639324,333279.085707945
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-21T10:41:34Z,398263.799580432,333278.236565499
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-21T10:41:35Z,398264.841074977,333276.983073657
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-21T10:41:36Z,398265.882569522,333275.729581815
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-21T10:41:37Z,398266.924064066,333274.476089974
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-21T10:41:38Z,398267.965558611,333273.222598132
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-21T10:41:39Z,398269.007053156,333271.96910629
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-21T10:41:40Z,398269.835697383,333269.508275443
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-21T10:41:41Z,398270.66434161,333267.047444596
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-21T10:41:42Z,398271.492985838,333264.586613749
