"public_candidate_version","historical_candidate_version","dataset_id","site","file","size_bytes","sha256","input_file","input_sha256","timezone","local_timezone","identifier_algorithm","identifier_scheme_version","identifier_scope","identifier_hex_length","n_records","n_pseudonyms","n_sensors","start_utc","end_utc","total_detections"
"historical-v4-public-candidate-1","historical-v4-candidate-1","unist19","UNIST campus","wifi_unist19_20sec_public-candidate.parquet",86326960,"825c2014cdc24e4b45e8ef358de56ab0e9ba771afe2d919d8cb76398515551f1","wifi_unist19_20sec_v4-candidate.parquet","f34531223b7e91c87cc260cf72fb5aab8fe0fd53c576e08df939a2a18592837a","UTC","Asia/Seoul","hmac-sha256","1","release-dataset",32,15021058,25603,24,2019-10-20 15:00:00,2019-11-15 14:59:40,36133520
"historical-v4-public-candidate-1","historical-v4-candidate-1","uou20","Commercial district","wifi_uou20_20sec_public-candidate.parquet",33108362,"9a5332bfec515f4028c5a04945eaecd50afac452fda3a8cb23d6c461e4a5cad5","wifi_uou20_20sec_v4-candidate.parquet","3799cf1b06c21a37e4422f03764ef119be53946eaf9578ab0cbde07209aec50f","UTC","Asia/Seoul","hmac-sha256","1","release-dataset",32,5436472,75224,17,2020-07-10 22:39:00,2020-07-19 18:59:40,16177911
