"site","file","size_bytes","sha256","n_records","n_devices","n_sensors","start_time","end_time","invalid_strength_rows"
"UNIST campus","wifi_unist19_20sec.parquet",84998658,"097deffe63e7dceed943a449900d983027ad53f428f7b07d1f4892fac9896259",15021058,25603,24,2019-10-21,2019-11-15 23:59:40,0
"Commercial district","wifi_uou20_20sec.parquet",32118444,"8e7596d5aef293f7de2f3ad1ba5ad5a740679098ecf686d10d3cfff68de46ab8",5436472,75224,17,2020-07-11 07:39:00,2020-07-20 03:59:40,0
